url	slug	yc_name	yc_batch	news_count	news_date	news_title	news_url	parse_status
https://www.ycombinator.com/companies/cartage	cartage	Cartage	S24	1	Oct 10, 2024	Cartage secures $3.3M to support shippers and carriers with automation - FreightWaves	https://www.freightwaves.com/news/cartage-secures-3-3m-to-support-shippers-and-carriers-with-automation	ok
https://www.ycombinator.com/companies/anthrogen	anthrogen	Anthrogen	S24	1	Nov 12, 2024	AI chemical startup Anthrogen closed $4M from Y Combinator, Paul Graham	https://www.axios.com/pro/climate-deals/2024/11/12/anthrogen-4m-ai-fuel	ok
https://www.ycombinator.com/companies/true3d-labs	true3d-labs	True3D Labs	W21	2	Dec 30, 2022	QuickVid uses AI to generate short-form videos, complete with voiceovers | TechCrunch	https://techcrunch.com/2022/12/30/quickvid-uses-ai-to-generate-short-form-videos-complete-with-voiceovers/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAALptn1iOjHaR-DkOiiKW3VgHFJ-8yzAmJ1_pepYTTcFBxvZJKXVin2yxpZCf2HBw33Li8h5NOgrtFoBvEdqgIdE8kk-zXlWVKjVowvMpcsS9UyL_g5AYdLjlZZLCo9jjb4G5IghZ0RTWBJk3YaQMsIwXXObXlFNZA7bx2udYDk1b	ok
https://www.ycombinator.com/companies/true3d-labs	true3d-labs	True3D Labs	W21	2	Dec 16, 2022	ChatGPT Is on Fire, and a Cottage Industry of Bot Builders Is Exploding Alongside It — The Information	https://www.theinformation.com/articles/chatgpt-is-on-fire-and-a-cottage-industry-of-bot-builders-is-exploding-alongside-it	ok
https://www.ycombinator.com/companies/zeropath	zeropath	ZeroPath	S24	0				ok
https://www.ycombinator.com/companies/ligo-biosciences	ligo-biosciences	Ligo Biosciences	S24	1	Sep 20, 2024	Show HN: An open-source implementation of AlphaFold3 | Hacker News	https://news.ycombinator.com/item?id=41448439	ok
https://www.ycombinator.com/companies/maitai	maitai	Maitai	S24	1	Jun 03, 2025	Phonely’s new AI agents hit 99% accuracy—and customers can’t tell they’re not human | VentureBeat	https://venturebeat.com/ai/phonelys-new-ai-agents-hit-99-accuracy-and-customers-cant-tell-theyre-not-human/	ok
https://www.ycombinator.com/companies/stack-auth	stack-auth	Stack Auth	S24	0				ok
https://www.ycombinator.com/companies/biocartesian	biocartesian	Biocartesian	S24	0				ok
https://www.ycombinator.com/companies/deepsilicon	deepsilicon	deepsilicon	S24	0				ok
https://www.ycombinator.com/companies/parahelp	parahelp	Parahelp	S24	0				ok
https://www.ycombinator.com/companies/byteport	byteport	Byteport	W26	0				ok
https://www.ycombinator.com/companies/fixture	fixture	Fixture	W26	0				ok
https://www.ycombinator.com/companies/confluence-labs	confluence-labs	Confluence Labs	W26	0				ok
https://www.ycombinator.com/companies/generalastro	generalastro	General Astronautics	W26	0				ok
https://www.ycombinator.com/companies/pirislabs	pirislabs	Piris Labs	W26	0				ok
https://www.ycombinator.com/companies/wayco	wayco	Wayco	W26	0				ok
https://www.ycombinator.com/companies/forum	forum	Forum	W26	0				ok
https://www.ycombinator.com/companies/prana-health	prana-health	Prana	W26	0				ok
https://www.ycombinator.com/companies/ashr	ashr	Ashr	W26	0				ok
https://www.ycombinator.com/companies/origami-robotics	origami-robotics	Origami Robotics	W26	0				ok
https://www.ycombinator.com/companies/gauge	gauge	Gauge	S24	0				ok
https://www.ycombinator.com/companies/archil	archil	Archil	F24	2	Jun 02, 2025	Archil - All of your data, on every instance, instantly	https://archil.com/post/archil-file-system-to-data-company	ok
https://www.ycombinator.com/companies/archil	archil	Archil	F24	2	Dec 05, 2024	The Quest for a Distributed POSIX-Compatible Filesystem	https://materializedview.io/p/the-quest-for-a-distributed-posix-fs	ok
https://www.ycombinator.com/companies/crustdata	crustdata	Crustdata	F24	1	Oct 23, 2025	Crustdata closes $6M seed round	https://crustdata.com/blog/crustdata-closes-6m-seed-round	ok
https://www.ycombinator.com/companies/sunset	sunset	Sunset	F24	0				ok
https://www.ycombinator.com/companies/friday	friday	Friday	F24	0				ok
